"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","31.32","28.50","31.32","27.02","120.80M","10.01%"
"Apr 13, 2020","28.47","26.39","28.47","26.02","122.14M","10.01%"
"Apr 10, 2020","25.88","24.39","26.27","24.02","103.88M","3.69%"
"Apr 09, 2020","24.96","25.00","26.07","24.10","128.72M","3.06%"
"Apr 08, 2020","24.22","22.30","24.22","22.22","95.07M","9.99%"
"Apr 07, 2020","22.02","21.50","22.68","20.90","85.51M","1.38%"
"Apr 03, 2020","21.72","20.46","22.24","20.01","90.46M","6.21%"
"Apr 02, 2020","20.45","20.76","20.80","19.78","74.61M","-2.53%"
"Apr 01, 2020","20.98","22.20","22.28","20.82","74.99M","-6.55%"
"Mar 31, 2020","22.45","21.00","23.27","20.51","89.23M","3.08%"
"Mar 30, 2020","21.78","23.30","24.23","21.62","98.63M","-4.14%"
"Mar 27, 2020","22.72","22.03","23.13","21.80","107.34M","-2.70%"
"Mar 26, 2020","23.35","22.00","23.56","21.86","161.44M","9.01%"
"Mar 25, 2020","21.42","19.50","21.42","19.47","114.59M","10.02%"
"Mar 24, 2020","19.47","18.91","20.75","18.26","117.08M","2.96%"
"Mar 23, 2020","18.91","17.54","18.91","17.23","78.16M","10.01%"
"Mar 20, 2020","17.19","17.23","17.75","16.81","41.41M","0.59%"
"Mar 19, 2020","17.09","17.97","18.25","16.88","60.58M","-6.66%"
"Mar 18, 2020","18.31","16.80","18.77","16.72","94.04M","6.89%"
"Mar 17, 2020","17.13","17.80","17.80","16.70","97.18M","4.83%"
"Mar 16, 2020","16.34","16.34","16.34","16.34","12.16M","10.03%"
"Mar 13, 2020","14.85","14.72","15.00","14.39","20.08M","-2.30%"
"Mar 12, 2020","15.20","15.26","15.57","15.09","16.91M","0.46%"
"Mar 11, 2020","15.13","15.61","15.61","15.11","17.50M","-0.79%"
"Mar 10, 2020","15.25","15.52","15.78","14.74","26.48M","-3.91%"
"Mar 09, 2020","15.87","15.70","16.25","15.52","23.96M","-0.44%"
"Mar 06, 2020","15.94","15.85","16.32","15.81","22.25M","0.89%"
"Mar 05, 2020","15.80","15.73","15.86","15.54","19.03M","0.57%"
"Mar 04, 2020","15.71","16.20","16.20","15.51","27.01M","-3.14%"
"Mar 03, 2020","16.22","16.20","16.52","16.00","27.67M","0.50%"
"Mar 02, 2020","16.14","16.21","16.39","15.83","25.40M","0.00%"
"Feb 28, 2020","16.14","16.21","16.77","16.00","28.78M","-1.34%"
"Feb 27, 2020","16.36","16.33","16.65","16.10","16.94M","0.31%"
"Feb 26, 2020","16.31","16.95","16.96","16.22","32.58M","-4.84%"
"Feb 25, 2020","17.14","16.16","17.45","16.10","53.15M","4.77%"
"Feb 24, 2020","16.36","16.30","16.63","16.08","31.99M","1.74%"
"Feb 21, 2020","16.08","15.97","16.35","15.61","32.84M","1.07%"
"Feb 20, 2020","15.91","16.48","16.48","15.34","45.83M","-4.56%"
"Feb 19, 2020","16.67","17.60","17.60","16.61","37.74M","-3.08%"
"Feb 18, 2020","17.20","17.25","17.45","16.83","42.12M","2.08%"
"Feb 17, 2020","16.85","16.59","17.12","16.47","35.64M","2.74%"
"Feb 14, 2020","16.40","17.00","17.20","16.23","29.40M","-1.62%"
"Feb 13, 2020","16.67","16.92","17.20","16.18","40.80M","-1.42%"
"Feb 12, 2020","16.91","16.88","17.27","16.58","35.98M","-1.91%"
"Feb 11, 2020","17.24","16.30","17.40","16.05","47.15M","4.36%"
"Feb 10, 2020","16.52","17.77","17.77","16.50","72.18M","-9.68%"
"Feb 07, 2020","18.29","19.98","20.48","17.90","83.47M","-7.95%"
"Feb 06, 2020","19.87","19.45","20.19","18.88","98.13M","6.54%"
"Feb 05, 2020","18.65","17.88","18.96","17.38","79.95M","0.81%"
"Feb 04, 2020","18.50","18.00","19.40","16.07","90.66M","3.64%"
"Feb 03, 2020","17.85","17.85","17.85","16.85","52.11M","9.98%"
"Jan 23, 2020","16.23","15.65","16.60","15.29","66.68M","6.78%"
"Jan 22, 2020","15.20","16.57","16.57","14.63","71.68M","-2.63%"
"Jan 21, 2020","15.61","15.50","15.61","15.15","44.51M","10.01%"
"Jan 20, 2020","14.19","14.19","14.19","13.80","40.90M","10.00%"
"Jan 17, 2020","12.90","12.73","13.09","12.68","15.14M","1.74%"
"Jan 16, 2020","12.68","12.70","12.85","12.55","10.09M","0.71%"
"Jan 15, 2020","12.59","12.70","12.76","12.50","8.34M","-0.71%"
"Jan 14, 2020","12.68","12.77","12.85","12.64","11.11M","-0.70%"
"Jan 13, 2020","12.77","12.58","12.95","12.40","22.21M","3.32%"
"Jan 10, 2020","12.36","12.56","12.64","12.18","15.67M","-0.32%"
"Jan 09, 2020","12.40","12.10","12.53","11.98","21.86M","3.42%"
"Jan 08, 2020","11.99","12.10","12.22","11.90","11.43M","0.08%"
"Jan 07, 2020","11.98","12.00","12.01","11.79","12.77M","-0.33%"
