"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2020","103.50","104.75","104.75","99.62","17.31M","-0.96%"
"Apr 09, 2020","104.50","107.75","107.75","103.61","31.49M","3.39%"
"Apr 08, 2020","101.07","100.69","102.31","98.69","22.56M","-0.17%"
"Apr 07, 2020","101.24","104.64","105.85","100.29","22.90M","1.67%"
"Apr 06, 2020","99.58","97.40","100.16","94.77","20.41M","6.07%"
"Apr 03, 2020","93.88","96.38","96.92","92.72","14.81M","-3.19%"
"Apr 02, 2020","96.97","94.55","97.18","94.55","13.94M","2.16%"
"Apr 01, 2020","94.92","93.69","97.36","92.63","18.30M","-1.74%"
"Mar 31, 2020","96.60","100.41","103.16","96.22","21.56M","-3.21%"
"Mar 30, 2020","99.80","96.00","100.46","92.10","23.12M","3.53%"
"Mar 27, 2020","96.40","100.31","100.50","95.65","30.59M","-8.50%"
"Mar 26, 2020","105.36","100.97","107.73","100.97","24.53M","4.60%"
"Mar 25, 2020","100.73","100.54","105.89","95.59","28.53M","2.66%"
"Mar 24, 2020","98.12","92.17","99.09","92.01","32.54M","14.41%"
"Mar 23, 2020","85.76","84.49","87.28","81.09","32.25M","-0.26%"
"Mar 20, 2020","85.98","95.99","96.99","85.84","31.96M","-9.43%"
"Mar 19, 2020","94.93","87.80","97.40","85.12","30.87M","6.90%"
"Mar 18, 2020","88.80","87.59","89.31","79.10","43.59M","-5.06%"
"Mar 17, 2020","93.53","95.80","97.46","91.15","27.53M","-1.56%"
"Mar 16, 2020","95.01","91.80","98.28","90.00","35.38M","-7.33%"
"Mar 13, 2020","102.52","100.78","102.87","92.25","40.96M","11.67%"
"Mar 12, 2020","91.81","97.62","100.00","91.64","40.39M","-12.98%"
"Mar 11, 2020","105.51","108.42","108.90","102.86","24.79M","-5.34%"
"Mar 10, 2020","111.46","108.10","111.58","102.43","24.08M","6.81%"
"Mar 09, 2020","104.35","108.69","110.43","104.28","26.23M","-9.47%"
"Mar 06, 2020","115.27","110.76","115.87","110.32","22.90M","1.13%"
"Mar 05, 2020","113.98","116.86","116.96","112.11","22.40M","-4.36%"
"Mar 04, 2020","119.18","118.96","119.24","115.48","13.84M","2.34%"
"Mar 03, 2020","116.45","121.15","121.78","115.15","19.53M","-2.94%"
"Mar 02, 2020","119.98","119.13","119.98","116.03","21.78M","1.98%"
"Feb 28, 2020","117.65","114.51","118.31","113.21","35.45M","-0.33%"
"Feb 27, 2020","118.04","119.81","122.90","117.92","30.83M","-4.31%"
"Feb 26, 2020","123.36","126.12","128.37","122.13","31.23M","-3.77%"
"Feb 25, 2020","128.19","133.75","133.94","127.98","21.03M","-3.62%"
"Feb 24, 2020","133.01","132.90","134.44","131.21","19.34M","-4.29%"
"Feb 21, 2020","138.97","139.86","139.88","138.58","7.73M","-1.00%"
"Feb 20, 2020","140.37","141.63","141.63","138.85","5.98M","-0.66%"
"Feb 19, 2020","141.30","139.63","141.87","139.23","7.08M","1.55%"
"Feb 18, 2020","139.14","139.02","139.66","138.10","8.22M","-0.29%"
"Feb 14, 2020","139.54","141.10","141.28","139.13","9.11M","-0.97%"
"Feb 13, 2020","140.90","141.17","141.90","140.82","7.54M","-0.67%"
"Feb 12, 2020","141.85","141.34","142.22","140.87","8.17M","0.60%"
"Feb 11, 2020","141.01","142.85","142.99","140.46","10.79M","-1.11%"
"Feb 10, 2020","142.59","141.03","142.59","140.46","8.16M","1.11%"
"Feb 07, 2020","141.02","141.89","141.99","140.12","10.95M","-1.18%"
"Feb 06, 2020","142.70","141.92","143.94","141.22","9.50M","0.94%"
"Feb 05, 2020","141.37","146.60","147.30","138.57","27.82M","-2.32%"
"Feb 04, 2020","144.73","145.49","145.59","143.25","23.52M","2.41%"
"Feb 03, 2020","141.32","139.79","141.82","139.75","12.66M","2.18%"
"Jan 31, 2020","138.31","138.40","138.67","137.06","12.38M","0.36%"
"Jan 30, 2020","137.81","135.09","137.85","134.83","11.85M","1.29%"
"Jan 29, 2020","136.06","138.60","138.68","135.79","9.39M","-1.67%"
"Jan 28, 2020","138.37","136.50","138.93","135.86","10.39M","1.82%"
