"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13, 2020","146.40","147.55","148.40","145.36","2.64M","-0.93%"
"Apr 09, 2020","147.78","148.60","149.63","146.59","4.78M","-0.81%"
"Apr 08, 2020","148.99","145.96","149.65","144.02","3.07M","3.04%"
"Apr 07, 2020","144.60","147.57","150.55","144.41","5.50M","2.77%"
"Apr 06, 2020","140.70","138.50","141.15","136.90","5.64M","5.16%"
"Apr 03, 2020","133.79","135.59","137.32","132.94","3.59M","-2.99%"
"Apr 02, 2020","137.91","132.39","138.18","132.26","3.99M","3.58%"
"Apr 01, 2020","133.14","132.14","135.75","131.13","3.78M","-2.47%"
"Mar 31, 2020","136.51","137.29","139.40","136.14","3.61M","-0.89%"
"Mar 30, 2020","137.74","132.25","138.01","131.06","3.87M","3.38%"
"Mar 27, 2020","133.24","132.03","137.07","130.91","4.26M","-2.16%"
"Mar 26, 2020","136.18","131.77","136.31","130.67","6.72M","3.53%"
"Mar 25, 2020","131.54","133.18","134.69","126.93","7.74M","-0.89%"
"Mar 24, 2020","132.72","122.27","133.39","121.00","9.31M","12.60%"
"Mar 23, 2020","117.87","128.16","128.40","114.04","7.93M","-5.62%"
"Mar 20, 2020","124.89","138.07","139.24","122.71","9.59M","-9.18%"
"Mar 19, 2020","137.51","136.95","140.12","133.00","6.37M","0.36%"
"Mar 18, 2020","137.02","128.78","139.06","128.49","6.86M","1.92%"
"Mar 17, 2020","134.44","131.94","136.77","129.61","6.54M","2.70%"
"Mar 16, 2020","130.91","129.86","135.50","128.01","7.44M","-7.60%"
"Mar 13, 2020","141.68","141.01","141.69","131.00","6.58M","6.06%"
"Mar 12, 2020","133.58","139.96","141.71","130.34","8.22M","-9.28%"
"Mar 11, 2020","147.24","149.73","149.73","146.47","4.75M","-3.95%"
"Mar 10, 2020","153.30","149.02","153.38","144.88","5.65M","6.41%"
"Mar 09, 2020","144.06","146.59","149.46","143.55","8.19M","-6.24%"
"Mar 06, 2020","153.65","149.59","154.74","147.87","7.16M","1.48%"
"Mar 05, 2020","151.41","150.80","154.35","149.55","5.89M","-1.67%"
"Mar 04, 2020","153.98","147.02","154.00","145.99","5.77M","6.02%"
"Mar 03, 2020","145.24","152.44","154.00","144.44","8.30M","-5.08%"
"Mar 02, 2020","153.02","151.34","153.43","148.37","8.03M","2.53%"
"Feb 28, 2020","149.24","154.09","156.72","146.00","11.51M","-0.61%"
"Feb 27, 2020","150.16","151.23","155.43","149.00","8.24M","0.81%"
"Feb 26, 2020","148.96","149.57","151.82","148.09","5.16M","1.44%"
"Feb 25, 2020","146.85","153.31","153.44","145.97","5.26M","-3.74%"
"Feb 24, 2020","152.55","154.45","154.71","152.22","3.64M","-2.79%"
"Feb 21, 2020","156.93","158.33","158.59","156.12","3.54M","-1.03%"
"Feb 20, 2020","158.56","159.00","161.39","158.50","3.28M","-0.49%"
"Feb 19, 2020","159.34","159.08","160.47","158.36","2.30M","0.29%"
"Feb 18, 2020","158.88","160.36","160.53","158.04","2.48M","-1.32%"
"Feb 14, 2020","161.01","159.85","161.14","158.82","2.23M","0.78%"
"Feb 13, 2020","159.76","161.76","161.87","159.00","3.41M","-2.47%"
"Feb 12, 2020","163.80","164.24","165.04","163.57","2.74M","0.83%"
"Feb 11, 2020","162.45","161.00","162.52","160.02","2.28M","1.44%"
"Feb 10, 2020","160.15","160.21","161.25","158.87","2.75M","0.04%"
"Feb 07, 2020","160.08","161.41","161.92","159.63","2.74M","-1.73%"
"Feb 06, 2020","162.89","164.49","165.00","162.47","3.41M","0.34%"
"Feb 05, 2020","162.33","159.12","162.33","158.70","3.12M","3.24%"
"Feb 04, 2020","157.24","159.77","159.96","157.00","4.36M","0.42%"
"Feb 03, 2020","156.59","160.03","160.31","156.38","3.93M","-1.30%"
"Jan 31, 2020","158.66","162.00","162.65","158.22","5.74M","-2.37%"
"Jan 30, 2020","162.51","161.00","162.64","158.76","4.36M","0.31%"
"Jan 29, 2020","162.00","166.35","166.47","161.53","5.34M","-2.16%"
"Jan 28, 2020","165.58","171.90","172.34","165.05","8.92M","-5.72%"
"Jan 27, 2020","175.63","179.86","180.59","175.54","4.36M","-1.41%"
"Jan 24, 2020","178.15","178.49","179.81","177.53","2.64M","0.23%"
"Jan 23, 2020","177.74","177.07","178.44","176.39","2.36M","-0.16%"
"Jan 22, 2020","178.03","179.51","180.57","177.88","2.42M","-0.76%"
"Jan 21, 2020","179.39","181.85","181.91","178.63","3.37M","-1.08%"
"Jan 17, 2020","181.35","181.00","182.15","180.70","3.69M","0.19%"
"Jan 16, 2020","181.01","180.68","181.20","179.69","2.15M","0.68%"
"Jan 15, 2020","179.78","181.42","181.86","179.18","2.48M","-0.88%"
