"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","10.16","10.05","10.27","9.93","367.65K","0.79%"
"Apr 09, 2020","10.08","10.22","10.55","9.95","12.24M","-0.84%"
"Apr 08, 2020","10.16","10.15","10.40","9.99","2.34M","-1.55%"
"Apr 07, 2020","10.32","9.85","10.71","9.85","3.45M","5.85%"
"Apr 06, 2020","9.75","8.77","9.86","8.77","2.72M","14.48%"
"Apr 03, 2020","8.52","8.76","8.79","8.50","1.45M","-0.33%"
"Apr 02, 2020","8.55","8.83","8.94","8.55","14.85M","-5.02%"
"Apr 01, 2020","9.00","8.91","9.11","8.78","2.06M","-2.32%"
"Mar 31, 2020","9.21","9.27","9.66","9.07","1.81M","0.92%"
"Mar 30, 2020","9.13","9.04","9.44","8.66","1.18M","0.71%"
"Mar 27, 2020","9.07","9.62","9.71","9.07","1.64M","-6.57%"
"Mar 26, 2020","9.70","9.68","9.95","9.36","3.63M","0.37%"
"Mar 25, 2020","9.67","9.78","10.65","9.47","2.97M","2.26%"
"Mar 24, 2020","9.45","8.96","9.53","8.76","2.23M","10.60%"
"Mar 23, 2020","8.55","8.66","8.89","8.05","3.24M","-2.97%"
"Mar 20, 2020","8.81","9.10","9.31","8.52","5.69M","6.74%"
"Mar 19, 2020","8.25","8.10","8.90","8.07","11.44M","1.40%"
"Mar 18, 2020","8.14","9.15","9.22","8.07","3.98M","-8.44%"
"Mar 17, 2020","8.89","9.45","9.60","8.30","6.94M","-3.05%"
"Mar 16, 2020","9.17","9.64","9.69","8.10","7.33M","-12.67%"
"Mar 13, 2020","10.50","10.40","11.11","10.13","5.14M","2.14%"
"Mar 12, 2020","10.28","10.67","10.86","9.91","4.76M","-7.80%"
"Mar 11, 2020","11.15","11.75","11.83","11.12","4.44M","-3.88%"
"Mar 10, 2020","11.60","11.31","12.09","11.12","5.58M","4.98%"
"Mar 09, 2020","11.05","10.79","11.50","10.40","9.38M","-2.30%"
"Mar 06, 2020","11.31","10.89","11.42","10.56","14.15M","0.98%"
