"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","5.99","6.20","6.20","5.99","924.53K","1.70%"
"Apr 08, 2020","5.89","6.09","6.10","5.86","2.91M","-2.97%"
"Apr 07, 2020","6.07","6.16","6.49","6.03","3.49M","-0.41%"
"Apr 06, 2020","6.09","6.09","6.20","5.92","1.86M","1.50%"
"Apr 03, 2020","6.01","6.09","6.11","5.95","1.17M","-1.31%"
"Apr 02, 2020","6.09","6.09","6.16","5.99","1.50M","-0.08%"
"Apr 01, 2020","6.09","6.14","6.14","5.95","1.68M","0.16%"
"Mar 31, 2020","6.08","6.10","6.16","5.94","2.92M","2.79%"
"Mar 30, 2020","5.91","6.06","6.07","5.64","2.83M","1.02%"
"Mar 27, 2020","5.86","5.99","6.00","5.77","2.55M","-2.34%"
"Mar 26, 2020","5.99","6.20","6.26","5.73","4.48M","-3.23%"
"Mar 25, 2020","6.20","6.30","6.49","5.97","3.72M","1.31%"
"Mar 24, 2020","6.11","6.11","6.11","5.82","3.10M","1.07%"
"Mar 23, 2020","6.05","6.05","6.17","5.84","1.90M","-4.87%"
"Mar 20, 2020","6.36","6.81","6.81","6.10","2.52M","0.00%"
"Mar 19, 2020","6.36","6.10","6.44","5.95","2.98M","6.97%"
"Mar 18, 2020","5.95","6.63","6.88","5.81","5.23M","2.59%"
"Mar 17, 2020","5.80","5.87","6.00","5.45","2.34M","0.87%"
"Mar 16, 2020","5.75","5.50","5.90","5.12","4.59M","-5.58%"
"Mar 13, 2020","6.09","5.66","6.55","5.58","6.05M","7.60%"
"Mar 12, 2020","5.66","5.91","5.99","5.51","4.18M","-10.58%"
"Mar 11, 2020","6.33","6.60","6.60","6.21","1.92M","-1.40%"
"Mar 10, 2020","6.42","6.33","6.94","6.32","4.20M","2.23%"
"Mar 09, 2020","6.28","6.23","6.54","5.80","3.58M","-4.56%"
"Mar 06, 2020","6.58","6.19","6.64","5.88","5.30M","6.30%"
"Mar 05, 2020","6.19","6.83","6.92","6.17","4.08M","-8.16%"
"Mar 04, 2020","6.74","6.98","6.98","6.66","2.99M","-3.16%"
"Mar 03, 2020","6.96","7.09","7.24","6.84","3.76M","-0.14%"
"Mar 02, 2020","6.97","7.47","7.49","6.75","3.83M","-2.11%"
"Feb 28, 2020","7.12","6.71","7.52","6.35","5.69M","4.40%"
"Feb 27, 2020","6.82","7.60","7.60","6.62","7.11M","-11.31%"
"Feb 26, 2020","7.69","8.46","8.46","7.50","7.01M","-9.95%"
"Feb 25, 2020","8.54","8.84","9.01","8.41","2.67M","-3.39%"
"Feb 24, 2020","8.84","9.41","9.41","8.72","3.24M","-8.96%"
"Feb 21, 2020","9.71","9.90","9.91","9.70","911.04K","-2.31%"
"Feb 20, 2020","9.94","9.97","10.03","9.84","603.60K","0.00%"
"Feb 19, 2020","9.94","9.88","10.00","9.81","602.89K","1.22%"
"Feb 18, 2020","9.82","10.02","10.02","9.76","756.23K","-1.70%"
"Feb 17, 2020","9.99","10.01","10.11","9.96","507.59K","-0.60%"
"Feb 14, 2020","10.05","10.05","10.24","10.00","792.80K","-0.20%"
"Feb 13, 2020","10.07","10.09","10.27","10.00","1.12M","-0.49%"
"Feb 12, 2020","10.12","10.07","10.27","9.98","1.25M","1.00%"
"Feb 11, 2020","10.02","9.80","10.02","9.80","940.21K","2.77%"
"Feb 10, 2020","9.75","9.90","9.90","9.70","526.22K","-0.71%"
"Feb 07, 2020","9.82","9.99","9.99","9.71","930.58K","-1.11%"
"Feb 06, 2020","9.93","9.89","10.14","9.86","1.24M","0.30%"
"Feb 05, 2020","9.90","9.98","10.30","9.82","1.20M","0.00%"
"Feb 04, 2020","9.90","9.85","10.04","9.80","899.35K","1.96%"
"Feb 03, 2020","9.71","9.71","9.73","9.44","778.72K","0.31%"
"Jan 31, 2020","9.68","9.77","9.89","9.68","923.69K","-0.31%"
"Jan 30, 2020","9.71","9.89","9.89","9.53","1.53M","-1.72%"
"Jan 29, 2020","9.88","9.91","10.09","9.78","1.00M","-0.20%"
"Jan 28, 2020","9.90","9.72","10.01","9.67","1.13M","1.43%"
"Jan 27, 2020","9.76","10.22","10.22","9.76","2.04M","-5.24%"
"Jan 24, 2020","10.30","10.30","10.44","10.28","799.62K","0.10%"
"Jan 23, 2020","10.29","10.72","10.72","10.28","1.08M","-3.20%"
"Jan 22, 2020","10.63","10.82","10.84","10.62","1.07M","-1.76%"
"Jan 21, 2020","10.82","10.84","10.90","10.78","620.32K","-1.28%"
"Jan 20, 2020","10.96","11.16","11.20","10.95","618.38K","-1.44%"
"Jan 17, 2020","11.12","10.85","11.16","10.84","827.95K","2.96%"
"Jan 16, 2020","10.80","10.92","10.98","10.77","512.40K","-0.64%"
"Jan 15, 2020","10.87","10.87","10.96","10.75","544.36K","0.09%"
"Jan 14, 2020","10.86","10.87","10.96","10.75","264.40K","-0.18%"
"Jan 13, 2020","10.88","10.99","11.05","10.71","1.02M","-1.00%"
"Jan 10, 2020","10.99","11.54","11.84","10.95","1.98M","-3.00%"
"Jan 09, 2020","11.33","10.54","11.37","10.54","2.46M","8.84%"
"Jan 08, 2020","10.41","10.48","10.50","10.30","1.05M","-1.70%"
"Jan 07, 2020","10.59","10.65","10.84","10.51","711.10K","1.92%"
"Jan 06, 2020","10.39","10.74","10.75","10.26","1.20M","-4.06%"
"Jan 03, 2020","10.83","11.15","11.15","10.75","1.79M","-3.13%"
"Jan 02, 2020","11.18","10.91","11.29","10.87","1.26M","2.85%"
"Dec 30, 2019","10.87","10.92","11.05","10.85","761.11K","-0.28%"
"Dec 27, 2019","10.90","10.82","11.10","10.82","850.77K","0.46%"
"Dec 23, 2019","10.85","11.01","11.08","10.82","676.86K","-1.54%"
"Dec 20, 2019","11.02","10.99","11.16","10.97","674.32K","0.09%"
"Dec 19, 2019","11.01","10.81","11.13","10.81","944.77K","1.47%"
"Dec 18, 2019","10.85","11.03","11.08","10.85","639.55K","-1.63%"
"Dec 17, 2019","11.03","11.21","11.23","10.98","894.31K","-1.34%"
"Dec 16, 2019","11.18","11.00","11.25","10.95","1.33M","2.57%"
"Dec 13, 2019","10.90","10.99","11.27","10.86","1.41M","-0.27%"
"Dec 12, 2019","10.93","10.89","11.07","10.81","1.01M","1.49%"
"Dec 11, 2019","10.77","10.95","11.06","10.70","1.47M","-1.01%"
"Dec 10, 2019","10.88","11.15","11.23","10.57","2.72M","-2.25%"
"Dec 09, 2019","11.13","11.52","11.58","11.12","2.94M","-3.97%"
"Dec 06, 2019","11.59","12.12","12.22","11.51","3.64M","-4.14%"
"Dec 05, 2019","12.09","13.92","14.00","11.83","7.79M","-15.34%"
"Dec 04, 2019","14.28","13.73","14.36","13.71","929.55K","2.96%"
"Dec 03, 2019","13.87","14.22","14.40","13.80","871.04K","-3.21%"
"Dec 02, 2019","14.33","14.25","14.50","14.17","1.51M","0.84%"
"Nov 29, 2019","14.21","13.92","14.32","13.92","1.04M","0.64%"
"Nov 28, 2019","14.12","14.09","14.15","13.71","736.98K","0.28%"
"Nov 27, 2019","14.08","13.70","14.22","13.70","1.70M","3.00%"
"Nov 26, 2019","13.67","13.51","13.69","13.32","937.86K","1.41%"
"Nov 25, 2019","13.48","12.84","13.72","12.83","1.77M","6.31%"
"Nov 22, 2019","12.68","12.63","12.73","12.52","240.29K","0.32%"
"Nov 21, 2019","12.64","12.66","12.78","12.45","302.80K","-0.55%"
"Nov 20, 2019","12.71","12.87","12.97","12.71","342.48K","-2.00%"
"Nov 19, 2019","12.97","12.70","13.10","12.69","549.68K","2.29%"
"Nov 18, 2019","12.68","12.85","13.12","12.57","1.10M","-1.71%"
"Nov 15, 2019","12.90","13.10","13.27","12.67","1.19M","-1.53%"
"Nov 14, 2019","13.10","13.26","13.30","12.99","701.26K","-1.87%"
"Nov 13, 2019","13.35","13.50","13.51","12.85","1.35M","-0.96%"
"Nov 12, 2019","13.48","13.00","13.48","13.00","1.52M","5.56%"
"Nov 11, 2019","12.77","12.58","12.90","12.43","1.32M","3.15%"
"Nov 08, 2019","12.38","11.43","12.59","11.17","2.57M","8.69%"
"Nov 07, 2019","11.39","11.05","11.44","11.05","789.69K","3.36%"
"Nov 06, 2019","11.02","10.79","11.11","10.71","748.13K","2.61%"
"Nov 05, 2019","10.74","10.75","10.80","10.50","340.63K","0.47%"
"Nov 04, 2019","10.69","10.52","10.89","10.52","505.64K","3.19%"
"Nov 01, 2019","10.36","10.54","10.55","10.25","229.68K","-0.96%"
"Oct 31, 2019","10.46","10.30","10.59","10.09","1.01M","2.35%"
"Oct 30, 2019","10.22","9.50","10.26","9.48","2.63M","10.61%"
"Oct 29, 2019","9.24","9.34","9.38","9.15","245.69K","-0.75%"
"Oct 28, 2019","9.31","9.46","9.59","9.31","471.79K","-1.59%"
"Oct 25, 2019","9.46","9.39","9.48","9.25","250.69K","1.07%"
"Oct 24, 2019","9.36","9.53","9.74","9.34","634.42K","-2.40%"
"Oct 23, 2019","9.59","9.44","9.65","9.31","422.32K","1.70%"
"Oct 22, 2019","9.43","9.81","9.90","9.40","1.13M","-3.78%"
"Oct 21, 2019","9.80","9.58","9.92","9.54","802.65K","3.59%"
"Oct 18, 2019","9.46","9.69","9.78","9.43","376.95K","-2.27%"
"Oct 17, 2019","9.68","9.61","9.98","9.60","505.10K","0.62%"
"Oct 16, 2019","9.62","9.78","9.79","9.54","300.55K","-1.64%"
