"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","614","618","628","610","1.29K","-0.32%"
"Apr 08, 2020","616","610","618","592","3.94K","0.98%"
"Apr 07, 2020","610","634","634","600","5.59K","-4.69%"
"Apr 06, 2020","640","630","660","630","1.85K","2.24%"
"Apr 03, 2020","626","636","660","626","2.14K","0.00%"
"Apr 02, 2020","626","648","674","626","1.99K","-5.72%"
"Apr 01, 2020","664","662","666","650","1.20K","1.22%"
"Mar 31, 2020","656","630","676","630","3.63K","5.13%"
"Mar 30, 2020","624","632","632","616","1.85K","-0.95%"
"Mar 27, 2020","630","628","638","626","1.19K","0.32%"
"Mar 26, 2020","628","616","630","614","1.27K","1.95%"
"Mar 25, 2020","616","604","630","604","2.54K","3.01%"
"Mar 24, 2020","598","600","608","590","1.60K","1.36%"
"Mar 23, 2020","590","630","630","590","2.17K","-5.75%"
"Mar 20, 2020","626","586","660","586","3.95K","9.82%"
"Mar 19, 2020","570","552","578","550","2.14K","1.79%"
"Mar 18, 2020","560","552","572","550","1.80K","-0.71%"
"Mar 17, 2020","564","574","578","556","3.56K","-3.42%"
"Mar 16, 2020","584","620","620","552","8.71K","-6.11%"
"Mar 13, 2020","622","576","670","576","4.71K","4.36%"
"Mar 12, 2020","596","652","680","550","6.93K","-12.35%"
"Mar 11, 2020","680","680","700","666","3.12K","0.89%"
"Mar 10, 2020","674","674","700","672","2.28K","0.30%"
"Mar 09, 2020","672","706","708","662","4.67K","-5.08%"
"Mar 06, 2020","708","722","728","706","2.47K","-3.54%"
"Mar 05, 2020","734","750","750","730","1.86K","-0.54%"
"Mar 04, 2020","738","724","748","724","1.27K","0.54%"
"Mar 03, 2020","734","716","746","714","1.76K","2.80%"
"Mar 02, 2020","714","692","724","690","3.23K","3.18%"
"Feb 28, 2020","692","722","722","680","4.34K","-4.95%"
"Feb 27, 2020","728","728","740","706","2.26K","0.28%"
"Feb 26, 2020","726","726","726","676","4.46K","-0.82%"
"Feb 25, 2020","732","744","744","700","3.02K","0.27%"
"Feb 24, 2020","730","768","768","730","2.82K","-5.19%"
"Feb 21, 2020","770","780","782","766","1.28K","-1.53%"
"Feb 20, 2020","782","786","788","778","0.92K","-0.51%"
"Feb 19, 2020","786","768","786","766","1.01K","2.61%"
"Feb 18, 2020","766","766","766","758","0.82K","1.06%"
"Feb 17, 2020","758","764","764","754","0.95K","-0.26%"
"Feb 14, 2020","760","758","762","758","0.51K","0.80%"
"Feb 13, 2020","754","760","762","754","0.75K","-0.26%"
"Feb 12, 2020","756","760","762","754","0.95K","0.27%"
"Feb 11, 2020","754","754","762","754","0.52K","0.00%"
"Feb 10, 2020","754","758","760","752","1.11K","0.27%"
"Feb 07, 2020","752","754","756","752","1.19K","-0.27%"
"Feb 06, 2020","754","760","762","754","1.15K","-0.79%"
"Feb 05, 2020","760","760","762","752","1.51K","1.06%"
"Feb 04, 2020","752","752","758","750","0.69K","0.00%"
"Feb 03, 2020","752","756","758","740","1.61K","-0.53%"
"Jan 31, 2020","756","760","760","748","0.96K","0.80%"
"Jan 30, 2020","750","758","760","750","1.01K","-0.27%"
"Jan 29, 2020","752","754","760","748","1.11K","0.00%"
"Jan 28, 2020","752","732","756","732","0.94K","1.35%"
"Jan 27, 2020","742","750","750","734","0.99K","-1.07%"
"Jan 24, 2020","750","752","752","742","0.73K","1.08%"
"Jan 23, 2020","742","758","762","742","1.45K","-1.85%"
"Jan 22, 2020","756","744","762","744","0.72K","0.00%"
"Jan 21, 2020","756","758","760","744","0.87K","-0.26%"
"Jan 20, 2020","758","746","766","746","1.78K","1.88%"
"Jan 17, 2020","744","736","744","732","1.19K","1.09%"
"Jan 16, 2020","736","762","770","726","1.68K","-3.16%"
"Jan 15, 2020","760","740","774","736","2.69K","3.26%"
"Jan 14, 2020","736","716","736","716","2.51K","3.37%"
"Jan 13, 2020","712","712","718","708","1.70K","0.56%"
"Jan 10, 2020","708","708","712","706","1.23K","0.00%"
"Jan 09, 2020","708","702","708","700","0.88K","0.85%"
"Jan 08, 2020","702","698","702","694","1.35K","0.86%"
"Jan 07, 2020","696","694","696","690","0.90K","0.87%"
"Jan 06, 2020","690","698","698","688","0.58K","-1.15%"
"Jan 03, 2020","698","696","700","690","1.41K","-0.29%"
"Jan 02, 2020","700","700","700","694","1.04K","0.00%"
"Dec 30, 2019","700","692","700","688","1.43K","1.16%"
"Dec 27, 2019","692","698","698","690","0.78K","0.29%"
"Dec 23, 2019","690","688","698","686","1.11K","0.58%"
"Dec 20, 2019","686","688","690","684","0.93K","0.00%"
"Dec 19, 2019","686","686","690","684","0.66K","-0.29%"
"Dec 18, 2019","688","686","690","678","2.15K","0.58%"
"Dec 17, 2019","684","686","686","680","1.14K","0.59%"
"Dec 16, 2019","680","688","690","680","1.33K","0.59%"
