"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","90.02","88.20","91.36","87.38","514.14K","4.67%"
"Apr 09, 2020","86.00","78.50","86.00","78.50","1.04M","13.70%"
"Apr 08, 2020","75.64","75.00","77.00","74.42","413.34K","1.01%"
"Apr 07, 2020","74.88","76.24","79.60","74.04","534.76K","0.46%"
"Apr 06, 2020","74.54","74.92","76.88","73.24","402.50K","2.70%"
"Apr 03, 2020","72.58","70.00","73.08","69.88","530.90K","3.48%"
"Apr 02, 2020","70.14","69.10","71.96","68.40","429.63K","0.95%"
"Apr 01, 2020","69.48","66.60","69.94","66.04","439.00K","1.14%"
"Mar 31, 2020","68.70","69.00","70.80","67.85","535.80K","0.73%"
"Mar 30, 2020","68.20","70.95","70.95","67.30","368.14K","-2.43%"
"Mar 27, 2020","69.90","70.75","72.30","69.05","525.70K","-2.51%"
"Mar 26, 2020","71.70","68.80","71.70","67.60","611.81K","2.06%"
"Mar 25, 2020","70.25","70.25","71.55","66.90","705.98K","2.55%"
"Mar 24, 2020","68.50","65.05","72.50","64.75","788.15K","9.25%"
"Mar 23, 2020","62.70","63.10","66.15","61.75","1.26M","-7.32%"
"Mar 20, 2020","67.65","73.75","74.25","67.65","1.55M","-2.66%"
"Mar 19, 2020","69.50","75.90","75.90","67.50","837.67K","-5.05%"
"Mar 18, 2020","73.20","70.60","76.95","69.70","1.23M","1.67%"
"Mar 17, 2020","72.00","69.25","72.20","64.10","1.12M","10.09%"
"Mar 16, 2020","65.40","63.55","65.95","58.80","1.29M","-0.61%"
"Mar 13, 2020","65.80","64.25","69.65","61.85","1.00M","5.62%"
"Mar 12, 2020","62.30","64.90","65.95","61.40","1.07M","-9.45%"
"Mar 11, 2020","68.80","71.40","72.05","68.60","561.57K","-2.20%"
"Mar 10, 2020","70.35","73.00","75.05","70.00","704.52K","-2.02%"
"Mar 09, 2020","71.80","70.50","74.15","69.45","830.59K","-7.12%"
"Mar 06, 2020","77.30","80.50","81.05","76.70","571.23K","-6.30%"
"Mar 05, 2020","82.50","84.40","84.75","81.50","587.67K","-0.48%"
"Mar 04, 2020","82.90","81.40","83.15","80.40","575.29K","2.03%"
"Mar 03, 2020","81.25","79.40","82.15","78.90","740.12K","4.50%"
"Mar 02, 2020","77.75","81.00","85.00","76.70","815.93K","-1.95%"
"Feb 28, 2020","79.30","76.65","79.30","75.70","1.22M","-1.25%"
"Feb 27, 2020","80.30","83.45","83.70","79.65","791.86K","-5.53%"
"Feb 26, 2020","85.00","86.15","86.45","81.85","708.53K","-1.33%"
"Feb 25, 2020","86.15","86.65","87.30","85.50","691.10K","0.12%"
"Feb 24, 2020","86.05","88.70","88.90","85.05","693.73K","-4.92%"
"Feb 21, 2020","90.50","90.00","91.00","88.95","528.24K","0.72%"
"Feb 20, 2020","89.85","91.75","91.75","89.55","397.78K","-1.80%"
"Feb 19, 2020","91.50","91.55","91.75","89.15","510.89K","0.60%"
"Feb 18, 2020","90.95","92.00","92.10","90.40","576.91K","-1.68%"
"Feb 17, 2020","92.50","93.25","94.85","91.90","400.15K","-1.65%"
"Feb 14, 2020","94.05","95.95","95.95","91.70","695.42K","-2.03%"
"Feb 13, 2020","96.00","96.30","99.20","95.05","742.44K","-2.34%"
"Feb 12, 2020","98.30","95.40","99.20","94.95","771.80K","3.36%"
"Feb 11, 2020","95.10","93.50","95.65","93.25","865.46K","4.11%"
"Feb 10, 2020","91.35","91.70","92.25","90.15","566.31K","-0.16%"
"Feb 07, 2020","91.50","93.45","94.35","91.45","817.80K","-1.35%"
"Feb 06, 2020","92.75","92.80","95.20","91.80","1.16M","0.82%"
"Feb 05, 2020","92.00","89.00","92.75","88.90","9.31M","3.43%"
"Feb 04, 2020","88.95","87.00","89.30","86.90","1.63M","2.48%"
"Feb 03, 2020","86.80","84.70","86.80","84.40","398.85K","2.00%"
"Jan 31, 2020","85.10","85.55","86.50","83.90","901.09K","-0.18%"
"Jan 30, 2020","85.25","85.40","85.60","84.25","167.78K","-0.81%"
"Jan 29, 2020","85.95","85.30","86.70","84.95","176.97K","0.59%"
"Jan 28, 2020","85.45","84.05","85.70","82.80","238.21K","1.67%"
"Jan 27, 2020","84.05","84.35","84.45","83.40","257.06K","-0.83%"
"Jan 24, 2020","84.75","84.00","85.05","83.15","687.07K","-1.17%"
"Jan 23, 2020","85.75","86.75","87.00","85.60","469.95K","-0.92%"
"Jan 22, 2020","86.55","86.25","86.95","85.55","594.90K","1.35%"
"Jan 21, 2020","85.40","85.75","85.95","85.05","282.63K","-0.64%"
"Jan 20, 2020","85.95","87.00","87.25","85.45","248.63K","-0.46%"
"Jan 17, 2020","86.35","86.00","86.40","85.60","277.12K","0.41%"
"Jan 16, 2020","86.00","87.00","87.00","84.90","362.34K","-0.41%"
"Jan 15, 2020","86.35","87.00","87.90","86.25","509.63K","-0.46%"
"Jan 14, 2020","86.75","86.80","88.15","86.35","582.45K","0.41%"
"Jan 13, 2020","86.40","88.00","88.10","85.55","516.56K","-1.65%"
"Jan 10, 2020","87.85","86.90","88.80","86.45","519.84K","1.62%"
"Jan 09, 2020","86.45","85.80","86.65","84.85","401.30K","1.77%"
"Jan 08, 2020","84.95","85.30","86.80","84.95","431.37K","-0.18%"
"Jan 07, 2020","85.10","84.80","85.15","83.80","615.89K","1.55%"
"Jan 06, 2020","83.80","85.00","85.10","83.55","385.51K","-0.71%"
"Jan 03, 2020","84.40","83.00","85.60","82.00","489.52K","1.38%"
"Jan 02, 2020","83.25","82.60","83.75","81.85","454.29K","1.28%"
"Dec 31, 2019","82.20","82.15","82.55","81.60","178.55K","0.18%"
