"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","5,488.10","5,387.30","5,490.70","5,360.00","1.15B","1.87%"
"Apr 09, 2020","5,387.30","5,206.90","5,387.30","5,206.90","914.16M","3.46%"
"Apr 08, 2020","5,206.90","5,252.30","5,321.00","5,121.90","1.15B","-0.86%"
"Apr 07, 2020","5,252.30","5,286.80","5,423.10","5,187.00","1.11B","-0.65%"
"Apr 06, 2020","5,286.80","5,067.50","5,302.20","5,067.50","890.07M","4.33%"
"Apr 03, 2020","5,067.50","5,154.30","5,246.80","5,022.40","1.07B","-1.68%"
"Apr 02, 2020","5,154.30","5,258.60","5,258.60","5,065.20","1.01B","-1.98%"
"Apr 01, 2020","5,258.60","5,076.80","5,272.30","5,076.80","1.04B","3.58%"
"Mar 31, 2020","5,076.80","5,181.40","5,366.40","5,005.80","1.51B","-2.02%"
"Mar 30, 2020","5,181.40","4,842.40","5,181.40","4,833.10","1.03B","7.00%"
"Mar 27, 2020","4,842.40","5,113.30","5,236.70","4,842.40","1.46B","-5.30%"
"Mar 26, 2020","5,113.30","4,998.10","5,174.40","4,998.10","1.21B","2.30%"
"Mar 25, 2020","4,998.10","4,735.70","5,024.50","4,735.70","1.35B","5.54%"
"Mar 24, 2020","4,735.70","4,546.00","4,735.70","4,546.00","1.34B","4.17%"
"Mar 23, 2020","4,546.00","4,816.60","4,816.60","4,402.50","1.47B","-5.62%"
"Mar 20, 2020","4,816.60","4,782.90","5,016.10","4,782.90","1.87B","0.70%"
"Mar 19, 2020","4,782.90","4,953.20","5,102.50","4,741.00","1.87B","-3.44%"
"Mar 18, 2020","4,953.20","5,293.40","5,293.40","4,888.10","1.77B","-6.43%"
"Mar 17, 2020","5,293.40","5,002.00","5,303.70","4,997.30","2.00B","5.83%"
"Mar 16, 2020","5,002.00","5,539.30","5,539.30","5,002.00","1.64B","-9.70%"
"Mar 13, 2020","5,539.30","5,304.60","5,539.30","4,873.70","2.26B","4.42%"
"Mar 12, 2020","5,304.60","5,725.90","5,725.90","5,290.00","1.82B","-7.36%"
"Mar 11, 2020","5,725.90","5,939.60","5,972.50","5,725.90","1.41B","-3.60%"
"Mar 10, 2020","5,939.60","5,760.60","5,939.60","5,538.90","1.80B","3.11%"
"Mar 09, 2020","5,760.60","6,216.20","6,216.20","5,760.60","1.44B","-7.33%"
"Mar 06, 2020","6,216.20","6,395.70","6,395.70","6,216.20","959.37M","-2.81%"
"Mar 05, 2020","6,395.70","6,325.40","6,447.10","6,325.40","989.84M","1.11%"
"Mar 04, 2020","6,325.40","6,435.70","6,435.70","6,310.20","1.02B","-1.71%"
"Mar 03, 2020","6,435.70","6,391.50","6,524.30","6,391.50","1.05B","0.69%"
"Mar 02, 2020","6,391.50","6,438.90","6,438.90","6,245.20","1.47B","-0.77%"
"Feb 28, 2020","6,441.20","6,657.90","6,657.90","6,426.80","1.52B","-3.25%"
"Feb 27, 2020","6,657.90","6,708.10","6,728.20","6,630.50","1.02B","-0.75%"
"Feb 26, 2020","6,708.10","6,866.60","6,866.60","6,690.10","1.01B","-2.31%"
"Feb 25, 2020","6,866.60","6,978.30","6,978.30","6,800.00","1.04B","-1.60%"
"Feb 24, 2020","6,978.30","7,139.00","7,139.00","6,967.90","812.83M","-2.25%"
"Feb 21, 2020","7,139.00","7,162.50","7,162.60","7,135.70","1.07B","-0.33%"
"Feb 20, 2020","7,162.50","7,144.60","7,197.20","7,144.60","832.83M","0.25%"
"Feb 19, 2020","7,144.60","7,113.70","7,144.60","7,102.90","866.41M","0.43%"
"Feb 18, 2020","7,113.70","7,125.10","7,125.10","7,096.80","627.53M","-0.16%"
"Feb 17, 2020","7,125.10","7,130.20","7,137.40","7,104.40","501.87M","-0.07%"
"Feb 14, 2020","7,130.20","7,103.20","7,138.40","7,101.10","691.32M","0.38%"
"Feb 13, 2020","7,103.20","7,088.20","7,145.80","7,086.80","737.68M","0.21%"
"Feb 12, 2020","7,088.20","7,055.30","7,098.60","7,055.10","692.66M","0.47%"
"Feb 11, 2020","7,055.30","7,012.50","7,070.20","7,012.50","618.73M","0.61%"
"Feb 10, 2020","7,012.50","7,022.60","7,024.40","6,982.60","589.67M","-0.14%"
"Feb 07, 2020","7,022.60","7,049.20","7,051.60","7,002.00","639.84M","-0.38%"
"Feb 06, 2020","7,049.20","6,976.10","7,050.00","6,976.10","687.99M","1.05%"
"Feb 05, 2020","6,976.10","6,948.70","7,009.30","6,948.70","654.14M","0.39%"
"Feb 04, 2020","6,948.70","6,923.30","6,963.30","6,915.00","599.36M","0.37%"
"Feb 03, 2020","6,923.30","7,017.20","7,017.20","6,897.00","617.57M","-1.34%"
"Jan 31, 2020","7,017.20","7,008.40","7,046.70","7,008.40","756.35M","0.13%"
"Jan 30, 2020","7,008.40","7,031.50","7,038.20","6,993.00","685.47M","-0.33%"
"Jan 29, 2020","7,031.50","6,994.50","7,046.80","6,994.50","590.50M","0.53%"
"Jan 28, 2020","6,994.50","7,051.20","7,090.50","6,964.70","619.67M","-1.35%"
"Jan 24, 2020","7,090.50","7,088.00","7,122.70","7,085.70","477.56M","0.04%"
"Jan 23, 2020","7,088.00","7,132.70","7,132.70","7,068.80","539.66M","-0.63%"
"Jan 22, 2020","7,132.70","7,066.30","7,144.90","7,062.20","601.97M","0.94%"
"Jan 21, 2020","7,066.30","7,079.50","7,079.50","7,040.70","480.90M","-0.19%"
"Jan 20, 2020","7,079.50","7,064.10","7,092.50","7,064.10","423.43M","0.22%"
"Jan 17, 2020","7,064.10","7,041.80","7,088.10","7,041.80","500.32M","0.32%"
"Jan 16, 2020","7,041.80","6,994.80","7,041.80","6,994.80","548.16M","0.67%"
"Jan 15, 2020","6,994.80","6,962.20","6,996.80","6,960.40","573.38M","0.47%"
"Jan 14, 2020","6,962.20","6,903.70","6,962.80","6,903.70","549.74M","0.85%"
"Jan 13, 2020","6,903.70","6,929.00","6,929.00","6,880.70","358.10M","-0.37%"
"Jan 10, 2020","6,929.00","6,874.20","6,933.20","6,874.20","516.00M","0.80%"
"Jan 09, 2020","6,874.20","6,817.60","6,889.20","6,817.60","502.14M","0.83%"
"Jan 08, 2020","6,817.60","6,826.40","6,831.70","6,749.60","570.66M","-0.13%"
"Jan 07, 2020","6,826.40","6,735.70","6,834.30","6,735.70","447.41M","1.35%"
"Jan 06, 2020","6,735.70","6,733.10","6,738.60","6,671.70","469.75M","0.03%"
"Jan 03, 2020","6,733.50","6,690.60","6,788.20","6,690.60","365.16M","0.64%"
"Jan 02, 2020","6,690.60","6,684.10","6,709.20","6,669.20","304.87M","0.10%"
"Dec 31, 2019","6,684.10","6,804.90","6,804.90","6,684.10","314.21M","-1.78%"
"Dec 30, 2019","6,804.90","6,821.70","6,824.70","6,764.60","294.80M","-0.25%"
"Dec 27, 2019","6,821.70","6,794.20","6,822.10","6,794.20","290.12M","0.40%"
"Dec 24, 2019","6,794.20","6,785.10","6,794.90","6,776.20","201.84M","0.13%"
"Dec 23, 2019","6,785.10","6,816.30","6,816.30","6,785.10","364.66M","-0.46%"
"Dec 20, 2019","6,816.30","6,833.10","6,842.80","6,808.40","966.41M","-0.25%"
"Dec 19, 2019","6,833.10","6,851.40","6,872.80","6,819.90","805.70M","-0.27%"
"Dec 18, 2019","6,851.40","6,847.30","6,863.80","6,833.40","650.97M","0.06%"
"Dec 17, 2019","6,847.30","6,849.70","6,871.30","6,839.10","631.59M","-0.04%"
"Dec 16, 2019","6,849.70","6,741.60","6,866.10","6,741.60","650.90M","1.63%"
"Dec 13, 2019","6,739.70","6,708.80","6,753.10","6,708.80","646.00M","0.46%"
"Dec 12, 2019","6,708.80","6,752.60","6,753.00","6,701.20","630.71M","-0.65%"
"Dec 11, 2019","6,752.60","6,706.90","6,752.60","6,706.90","638.30M","0.68%"
"Dec 10, 2019","6,706.90","6,730.00","6,734.30","6,702.90","473.10M","-0.34%"
"Dec 09, 2019","6,730.00","6,707.00","6,740.00","6,707.00","505.30M","0.34%"
"Dec 06, 2019","6,707.00","6,683.00","6,712.30","6,681.80","477.90M","0.36%"
