"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2019","5,717.7","5,775.4","5,781.9","5,710.8","-","-1.05%"
"Dec 30, 2019","5,778.2","5,765.4","5,788.9","5,740.6","-","0.38%"
"Dec 27, 2019","5,756.4","5,773.9","5,799.3","5,726.8","-","0.51%"
"Dec 24, 2019","5,727.0","5,723.8","5,740.0","5,704.1","-","0.20%"
"Dec 23, 2019","5,715.6","5,770.7","5,770.8","5,695.9","-","-0.80%"
"Dec 20, 2019","5,761.7","5,760.6","5,797.4","5,737.9","-","0.13%"
"Dec 19, 2019","5,754.0","5,798.3","5,825.9","5,747.1","-","-0.70%"
"Dec 18, 2019","5,794.8","5,756.5","5,829.7","5,752.6","-","0.77%"
"Dec 17, 2019","5,750.7","5,747.2","5,791.4","5,737.8","-","1.09%"
"Dec 13, 2019","5,688.6","5,645.6","5,723.8","5,645.6","-","1.69%"
"Dec 12, 2019","5,593.9","5,615.4","5,622.1","5,571.8","-","0.41%"
"Dec 11, 2019","5,571.1","5,556.5","5,574.4","5,547.9","-","0.57%"
"Dec 10, 2019","5,539.3","5,484.8","5,543.9","5,443.9","-","0.41%"
"Dec 09, 2019","5,516.8","5,511.4","5,550.5","5,490.8","-","-0.05%"
"Dec 06, 2019","5,519.8","5,500.2","5,538.5","5,497.2","-","0.89%"
"Dec 05, 2019","5,471.3","5,492.4","5,509.1","5,458.2","-","-0.41%"
"Dec 04, 2019","5,493.6","5,444.4","5,511.2","5,426.6","-","0.94%"
"Dec 03, 2019","5,442.6","5,461.6","5,462.9","5,426.2","-","-0.61%"
"Dec 02, 2019","5,476.1","5,545.3","5,548.0","5,461.4","-","-0.92%"
"Nov 29, 2019","5,527.1","5,538.7","5,553.4","5,491.9","-","-0.88%"
"Nov 28, 2019","5,576.2","5,605.9","5,605.9","5,574.4","-","-0.76%"
"Nov 27, 2019","5,618.9","5,640.0","5,670.9","5,604.9","-","0.18%"
"Nov 26, 2019","5,608.6","5,692.8","5,701.7","5,607.4","-","-1.22%"
"Nov 25, 2019","5,677.9","5,691.9","5,720.1","5,663.9","-","0.11%"
"Nov 22, 2019","5,671.4","5,653.0","5,696.0","5,624.9","-","0.32%"
"Nov 21, 2019","5,653.1","5,696.8","5,711.8","5,638.2","-","-1.41%"
"Nov 20, 2019","5,733.9","5,703.4","5,742.5","5,686.2","-","-0.02%"
"Nov 19, 2019","5,734.8","5,681.4","5,748.9","5,676.8","-","1.65%"
"Nov 18, 2019","5,641.9","5,654.3","5,687.2","5,629.8","-","0.65%"
"Nov 15, 2019","5,605.2","5,650.3","5,651.5","5,599.4","-","-0.38%"
"Nov 14, 2019","5,626.8","5,626.2","5,661.9","5,618.9","-","-0.22%"
"Nov 13, 2019","5,639.3","5,638.4","5,655.9","5,595.2","-","-0.15%"
"Nov 12, 2019","5,647.6","5,669.2","5,678.6","5,631.1","-","0.29%"
"Nov 11, 2019","5,631.4","5,676.0","5,684.6","5,597.6","-","-0.75%"
"Nov 08, 2019","5,673.9","5,740.1","5,749.9","5,657.4","-","-1.41%"
"Nov 07, 2019","5,755.1","5,780.3","5,829.4","5,755.1","-","-0.53%"
"Nov 06, 2019","5,786.0","5,734.6","5,809.7","5,732.4","-","0.82%"
"Nov 05, 2019","5,739.2","5,731.3","5,758.8","5,723.1","-","0.72%"
"Nov 04, 2019","5,698.1","5,683.2","5,712.6","5,669.6","-","0.47%"
"Nov 01, 2019","5,671.6","5,668.1","5,687.4","5,638.9","-","0.40%"
"Oct 31, 2019","5,648.9","5,622.6","5,688.1","5,621.6","-","1.16%"
"Oct 30, 2019","5,584.4","5,567.6","5,597.1","5,457.6","-","0.56%"
"Oct 29, 2019","5,553.1","5,565.1","5,591.6","5,526.1","-","-0.39%"
"Oct 28, 2019","5,574.7","5,531.1","5,593.1","5,530.6","-","1.35%"
"Oct 25, 2019","5,500.5","5,543.9","5,554.0","5,481.6","-","-0.63%"
"Oct 24, 2019","5,535.5","5,572.6","5,601.4","5,524.9","-","-0.12%"
"Oct 23, 2019","5,542.2","5,554.0","5,566.9","5,524.1","-","-0.73%"
"Oct 22, 2019","5,583.1","5,607.1","5,622.4","5,573.7","-","-0.46%"
"Oct 21, 2019","5,608.9","5,578.0","5,631.4","5,566.9","-","0.67%"
"Oct 18, 2019","5,571.3","5,581.2","5,611.4","5,560.8","-","-0.36%"
"Oct 17, 2019","5,591.3","5,594.1","5,662.0","5,590.4","-","-0.28%"
"Oct 16, 2019","5,607.1","5,568.1","5,615.2","5,533.6","-","0.92%"
"Oct 15, 2019","5,555.8","5,556.1","5,575.6","5,522.6","-","0.53%"
"Oct 14, 2019","5,526.6","5,571.1","5,574.9","5,499.1","-","-0.59%"
"Oct 11, 2019","5,559.4","5,549.9","5,587.8","5,541.4","-","0.79%"
"Oct 10, 2019","5,515.6","5,441.3","5,531.1","5,437.8","-","1.47%"
"Oct 09, 2019","5,435.8","5,429.1","5,455.3","5,417.2","-","-0.28%"
"Oct 08, 2019","5,450.9","5,490.1","5,492.6","5,439.2","-","-0.41%"
"Oct 07, 2019","5,473.1","5,415.1","5,484.9","5,395.1","-","1.28%"
"Oct 04, 2019","5,404.1","5,392.8","5,415.3","5,371.9","-","0.61%"
"Oct 03, 2019","5,371.4","5,409.7","5,414.2","5,348.2","-","-0.53%"
"Oct 02, 2019","5,399.8","5,469.6","5,479.9","5,391.3","-","-2.00%"
"Oct 01, 2019","5,509.9","5,492.5","5,529.5","5,476.8","-","0.16%"
"Sep 30, 2019","5,501.1","5,543.1","5,543.1","5,470.1","-","-0.66%"
"Sep 27, 2019","5,537.5","5,524.9","5,565.4","5,513.2","-","-0.05%"
"Sep 26, 2019","5,540.1","5,506.9","5,583.4","5,506.9","-","0.72%"
"Sep 25, 2019","5,500.3","5,526.6","5,552.4","5,464.0","-","-1.48%"
"Sep 23, 2019","5,582.9","5,668.1","5,671.7","5,547.1","-","-1.18%"
"Sep 20, 2019","5,649.4","5,636.9","5,685.1","5,634.9","-","0.20%"
"Sep 19, 2019","5,638.2","5,629.3","5,650.6","5,588.1","-","-0.07%"
"Sep 18, 2019","5,641.9","5,716.6","5,719.4","5,620.8","-","-1.45%"
"Sep 17, 2019","5,725.0","5,796.1","5,806.5","5,724.4","-","-1.54%"
"Sep 16, 2019","5,814.3","5,743.4","5,830.2","5,743.4","-","0.90%"
"Sep 13, 2019","5,762.6","5,705.9","5,789.4","5,703.1","-","0.92%"
"Sep 12, 2019","5,709.9","5,699.6","5,753.5","5,693.2","-","0.81%"
"Sep 11, 2019","5,663.9","5,611.4","5,666.6","5,564.2","-","1.74%"
"Sep 10, 2019","5,567.1","5,578.8","5,584.6","5,530.1","-","-0.26%"
"Sep 09, 2019","5,581.4","5,619.7","5,624.4","5,560.6","-","-0.27%"
"Sep 06, 2019","5,596.4","5,590.7","5,630.9","5,561.4","-","0.31%"
"Sep 05, 2019","5,579.1","5,529.9","5,611.1","5,526.1","-","1.14%"
"Sep 04, 2019","5,516.4","5,521.6","5,542.8","5,489.4","-","0.19%"
"Sep 03, 2019","5,506.1","5,491.9","5,515.9","5,457.0","-","-0.03%"
"Sep 02, 2019","5,507.5","5,558.1","5,561.9","5,506.6","-","-0.87%"
"Aug 30, 2019","5,556.1","5,468.5","5,560.4","5,441.9","-","1.74%"
"Aug 29, 2019","5,460.9","5,449.2","5,515.1","5,436.6","-","0.21%"
"Aug 28, 2019","5,449.4","5,391.7","5,451.4","5,370.4","-","0.47%"
"Aug 27, 2019","5,423.9","5,404.6","5,438.8","5,377.4","-","0.27%"
"Aug 26, 2019","5,409.3","5,373.8","5,444.9","5,368.4","-","-0.43%"
"Aug 23, 2019","5,432.9","5,478.9","5,483.4","5,404.1","-","-0.27%"
"Aug 22, 2019","5,447.6","5,477.6","5,510.9","5,435.0","-","-0.98%"
"Aug 21, 2019","5,501.6","5,457.7","5,502.1","5,453.9","-","0.67%"
"Aug 20, 2019","5,464.8","5,483.3","5,503.1","5,448.4","-","-0.18%"
"Aug 19, 2019","5,474.7","5,489.6","5,504.2","5,471.4","-","0.84%"
"Aug 16, 2019","5,428.9","5,417.0","5,433.9","5,384.1","-","0.20%"
"Aug 15, 2019","5,417.9","5,475.1","5,477.9","5,347.8","-","-0.40%"
"Aug 14, 2019","5,439.4","5,556.7","5,556.7","5,421.9","-","-2.33%"
"Aug 13, 2019","5,568.9","5,530.6","5,574.6","5,520.2","-","-0.05%"
"Aug 12, 2019","5,571.9","5,597.9","5,647.9","5,562.9","-","-0.27%"
"Aug 08, 2019","5,586.8","5,614.2","5,618.2","5,577.4","-","0.79%"
"Aug 07, 2019","5,543.0","5,560.2","5,567.9","5,514.4","-","0.23%"
"Aug 06, 2019","5,530.2","5,567.0","5,578.1","5,512.4","-","0.17%"
"Aug 05, 2019","5,520.6","5,576.8","5,599.6","5,508.1","-","-2.56%"
"Aug 02, 2019","5,665.6","5,674.8","5,703.8","5,626.2","-","-1.89%"
"Aug 01, 2019","5,774.8","5,683.4","5,775.6","5,663.9","-","1.02%"
"Jul 31, 2019","5,716.6","5,761.9","5,767.5","5,716.6","-","-0.70%"
"Jul 30, 2019","5,756.9","5,863.9","5,868.1","5,741.2","-","-1.52%"
"Jul 29, 2019","5,845.6","5,818.3","5,860.1","5,806.8","-","0.76%"
"Jul 26, 2019","5,801.6","5,788.9","5,818.4","5,780.4","-","0.07%"
"Jul 25, 2019","5,797.4","5,832.3","5,871.8","5,766.4","-","-0.23%"
"Jul 24, 2019","5,810.9","5,889.9","5,889.9","5,804.2","-","-1.06%"
"Jul 23, 2019","5,873.1","5,844.4","5,898.9","5,844.4","-","0.64%"
"Jul 22, 2019","5,835.9","5,848.7","5,865.1","5,818.9","-","-0.42%"
"Jul 19, 2019","5,860.6","5,850.6","5,898.7","5,849.1","-","0.73%"
"Jul 18, 2019","5,817.9","5,779.9","5,839.9","5,779.9","-","0.31%"
"Jul 17, 2019","5,799.9","5,840.6","5,863.4","5,794.4","-","-0.80%"
"Jul 16, 2019","5,846.4","5,772.5","5,849.6","5,772.5","-","1.06%"
"Jul 15, 2019","5,785.1","5,776.9","5,791.6","5,736.8","-","0.54%"
"Jul 12, 2019","5,753.9","5,772.1","5,788.2","5,750.1","-","-0.74%"
"Jul 10, 2019","5,796.6","5,742.1","5,826.4","5,741.9","-","1.18%"
"Jul 09, 2019","5,729.1","5,805.8","5,806.4","5,722.9","-","-1.53%"
"Jul 08, 2019","5,818.1","5,764.6","5,819.7","5,764.6","-","0.34%"
"Jul 05, 2019","5,798.3","5,817.4","5,821.9","5,787.9","-","-0.51%"
"Jul 04, 2019","5,828.0","5,862.9","5,867.6","5,803.2","-","-0.30%"
"Jul 03, 2019","5,845.3","5,883.8","5,888.4","5,837.1","-","-0.38%"
"Jul 02, 2019","5,867.5","5,927.6","5,929.1","5,850.6","-","-0.59%"
"Jul 01, 2019","5,902.1","5,951.4","5,962.9","5,892.6","-","0.54%"
"Jun 28, 2019","5,870.6","5,864.3","5,880.1","5,859.5","-","0.20%"
"Jun 27, 2019","5,858.6","5,929.6","5,941.4","5,856.2","-","-0.68%"
"Jun 26, 2019","5,898.9","5,888.2","5,915.8","5,880.6","-","0.17%"
"Jun 25, 2019","5,889.0","5,910.6","5,939.4","5,872.9","-","-0.87%"
