"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 14, 2020","45,580.91","43,837.45","45,677.23","43,837.45","252.73M","3.98%"
"Apr 09, 2020","43,837.45","42,772.20","43,881.66","42,506.12","262.16M","2.49%"
"Apr 08, 2020","42,772.20","43,590.00","43,593.98","42,495.36","229.01M","-1.88%"
"Apr 07, 2020","43,590.00","42,534.54","44,309.88","42,508.05","294.52M","2.48%"
"Apr 06, 2020","42,534.54","40,873.41","42,780.16","40,873.41","191.15M","4.06%"
"Apr 03, 2020","40,873.41","41,245.26","41,245.26","40,362.37","246.32M","-0.90%"
"Apr 02, 2020","41,245.26","40,027.41","41,245.26","40,005.41","224.50M","3.04%"
"Apr 01, 2020","40,027.41","40,738.57","40,738.57","39,255.82","219.40M","-1.75%"
"Mar 31, 2020","40,738.57","39,756.74","40,738.57","39,742.80","305.43M","2.47%"
"Mar 30, 2020","39,756.74","39,172.39","39,172.39","39,069.53","-","1.49%"
"Mar 27, 2020","39,172.39","41,110.45","41,110.45","38,839.12","287.71M","-4.71%"
"Mar 26, 2020","41,110.45","39,493.22","39,493.22","39,174.61","-","4.09%"
"Mar 25, 2020","39,493.22","37,550.72","37,550.72","37,550.72","-","5.17%"
"Mar 24, 2020","37,550.72","34,695.90","34,695.90","34,695.90","-","8.23%"
"Mar 23, 2020","34,695.90","36,302.30","36,302.30","33,787.43","-","-4.43%"
"Mar 20, 2020","36,302.30","34,239.30","36,302.30","34,239.30","-","6.03%"
"Mar 19, 2020","34,239.30","34,715.64","34,715.64","33,407.74","-","-1.37%"
"Mar 18, 2020","34,715.64","37,375.33","37,375.33","34,198.88","-","-7.12%"
"Mar 17, 2020","37,375.33","36,301.81","37,375.33","36,150.86","350.98M","2.96%"
"Mar 16, 2020","36,301.81","39,476.09","39,476.09","34,616.10","341.38M","-8.04%"
"Mar 13, 2020","39,476.09","39,536.18","39,536.18","39,327.82","326.14M","-0.15%"
"Mar 12, 2020","39,536.18","43,891.49","43,891.49","39,300.54","407.63M","-9.92%"
"Mar 11, 2020","43,891.49","44,252.34","44,252.34","43,718.82","203.66M","-0.82%"
"Mar 10, 2020","44,252.34","43,687.17","45,286.35","43,687.17","248.34M","1.29%"
"Mar 09, 2020","43,687.17","46,759.72","46,759.72","43,423.29","283.87M","-6.57%"
"Mar 06, 2020","46,759.72","47,618.75","47,618.75","46,275.27","238.10M","-1.80%"
"Mar 05, 2020","47,618.75","47,560.68","47,560.68","47,346.64","192.55M","0.12%"
"Mar 04, 2020","47,560.68","47,671.24","47,671.24","47,360.53","188.80M","-0.23%"
"Mar 03, 2020","47,671.24","46,648.20","48,117.78","46,648.20","201.26M","3.97%"
"Mar 02, 2020","45,851.76","45,851.76","48,032.83","45,615.99","407.63M","0.00%"
"Feb 28, 2020","45,851.76","48,032.83","51,682.95","45,851.76","55.95M","-4.54%"
"Feb 27, 2020","48,032.83","49,500.52","49,500.52","47,990.77","176.86M","-2.97%"
"Feb 26, 2020","49,500.52","49,303.27","49,695.03","48,204.22","247.81M","0.40%"
"Feb 25, 2020","49,303.27","49,282.53","49,972.10","49,136.12","180.65M","0.04%"
"Feb 24, 2020","49,282.53","51,582.43","51,587.64","49,102.02","225.33M","-4.46%"
"Feb 21, 2020","51,582.43","52,033.26","52,033.26","51,147.94","153.00M","-0.87%"
"Feb 20, 2020","52,033.26","52,126.58","52,490.56","51,987.49","149.20M","-0.18%"
"Feb 19, 2020","52,126.58","51,922.16","52,245.31","51,892.85","-","0.39%"
"Feb 18, 2020","51,922.16","52,357.57","52,357.57","51,694.45","145.75M","-0.83%"
"Feb 17, 2020","52,357.57","52,049.98","52,455.01","51,948.79","104.92M","0.59%"
"Feb 14, 2020","52,049.98","52,055.56","52,219.34","51,786.38","128.03M","-0.01%"
"Feb 13, 2020","52,055.56","52,000.03","52,442.16","51,800.30","137.83M","0.11%"
"Feb 12, 2020","52,000.03","51,201.08","52,215.12","51,113.88","156.42M","1.56%"
"Feb 11, 2020","51,201.08","51,007.05","51,527.09","50,950.19","108.36M","0.38%"
"Feb 10, 2020","51,007.05","51,396.07","51,396.07","50,936.50","105.78M","-0.76%"
"Feb 07, 2020","51,396.07","51,612.07","51,762.17","51,156.47","136.44M","-0.42%"
"Feb 06, 2020","51,612.07","51,484.33","51,914.74","51,484.33","122.16M","0.25%"
"Feb 05, 2020","51,484.33","50,892.53","51,605.43","50,859.17","117.27M","1.16%"
"Feb 04, 2020","50,892.53","49,903.25","50,990.66","49,903.25","138.89M","1.98%"
"Feb 03, 2020","49,903.25","50,072.61","50,226.04","49,839.18","95.70M","-0.34%"
"Jan 31, 2020","50,072.61","50,552.71","50,552.71","49,917.91","156.03M","-0.95%"
"Jan 30, 2020","50,552.71","50,343.61","50,574.07","49,629.63","102.78M","0.42%"
"Jan 29, 2020","50,343.61","49,800.27","50,650.70","49,783.33","99.52M","1.09%"
"Jan 28, 2020","49,800.27","49,949.24","50,147.95","49,587.50","118.57M","-0.30%"
"Jan 27, 2020","49,949.24","51,212.26","51,212.26","49,799.85","122.59M","-2.47%"
"Jan 24, 2020","51,212.26","50,847.58","51,313.69","50,847.58","85.06M","0.72%"
"Jan 23, 2020","50,847.58","51,808.62","51,811.35","50,779.49","100.98M","-1.85%"
"Jan 22, 2020","51,808.62","51,835.36","52,258.62","51,773.17","127.96M","-0.05%"
"Jan 21, 2020","51,835.36","52,638.53","52,638.53","51,470.00","136.34M","-1.53%"
"Jan 20, 2020","52,638.53","52,735.75","52,834.69","52,592.29","94.06M","-0.18%"
"Jan 17, 2020","52,735.75","51,965.24","52,842.39","51,955.98","146.06M","1.48%"
"Jan 16, 2020","51,965.24","51,835.06","52,093.00","51,672.04","130.90M","0.25%"
"Jan 15, 2020","51,835.06","51,725.89","52,021.50","51,460.48","112.27M","0.21%"
"Jan 14, 2020","51,725.89","51,343.39","51,725.89","51,324.88","136.47M","0.74%"
"Jan 13, 2020","51,343.39","51,245.43","51,582.32","51,147.11","106.77M","0.19%"
"Jan 10, 2020","51,245.43","50,916.06","51,292.44","50,892.54","84.49M","0.65%"
"Jan 09, 2020","50,916.06","51,090.54","51,522.60","50,807.76","95.09M","-0.34%"
"Jan 08, 2020","51,090.54","51,154.44","51,270.27","50,835.47","91.56M","-0.12%"
"Jan 07, 2020","51,154.44","50,999.61","51,340.35","50,749.86","84.95M","0.30%"
"Jan 06, 2020","50,999.61","51,536.50","51,625.25","50,795.20","80.09M","-1.04%"
"Jan 03, 2020","51,536.50","51,438.04","51,633.77","51,149.17","99.15M","0.19%"
"Jan 02, 2020","51,438.04","50,816.05","51,682.95","50,807.33","55.95M","1.22%"
"Dec 31, 2019","50,816.05","51,398.39","51,401.09","50,816.05","27.69M","-1.13%"
"Dec 30, 2019","51,398.39","51,147.45","51,428.98","51,008.96","48.23M","0.49%"
"Dec 27, 2019","51,147.45","51,023.93","51,626.29","51,017.88","82.54M","0.24%"
"Dec 24, 2019","51,023.93","50,876.11","51,040.67","50,732.23","30.65M","0.29%"
"Dec 23, 2019","50,876.11","51,151.12","51,151.12","50,580.11","77.27M","-0.54%"
"Dec 20, 2019","51,151.12","51,268.61","51,483.13","50,994.13","223.73M","-0.23%"
"Dec 19, 2019","51,268.61","51,462.50","51,749.55","51,145.44","373.14M","-0.38%"
"Dec 18, 2019","51,462.50","50,994.19","51,715.48","50,965.30","155.97M","0.92%"
"Dec 17, 2019","50,994.19","50,499.02","51,456.96","50,499.02","187.40M","0.98%"
"Dec 13, 2019","50,499.02","49,603.06","50,869.30","49,603.06","164.32M","1.81%"
"Dec 12, 2019","49,603.06","49,537.29","49,943.03","49,517.84","130.40M","0.13%"
"Dec 11, 2019","49,537.29","49,225.73","49,546.29","49,140.00","129.70M","0.63%"
"Dec 10, 2019","49,225.73","49,019.88","49,225.73","48,378.63","126.99M","0.42%"
"Dec 09, 2019","49,019.88","49,065.21","49,272.26","48,789.50","80.32M","-0.09%"
"Dec 06, 2019","49,065.21","48,589.71","49,200.34","48,585.41","123.47M","0.98%"
"Dec 05, 2019","48,589.71","48,809.33","48,951.33","48,506.82","147.68M","-0.45%"
"Dec 04, 2019","48,809.33","48,299.66","48,946.78","48,233.74","131.43M","1.06%"
"Dec 03, 2019","48,299.66","48,609.00","48,618.39","48,230.43","184.45M","-0.64%"
"Dec 02, 2019","48,609.00","49,093.16","49,249.25","48,528.55","167.27M","-0.99%"
"Nov 29, 2019","49,093.16","49,470.55","49,473.27","48,804.03","135.61M","-0.76%"
"Nov 28, 2019","49,470.55","49,910.57","49,959.99","49,470.55","108.82M","-0.88%"
"Nov 27, 2019","49,910.57","49,818.42","50,389.32","49,800.84","136.92M","0.18%"
"Nov 26, 2019","49,818.42","50,474.91","50,654.64","49,818.42","547.90M","-1.30%"
"Nov 25, 2019","50,474.91","50,484.88","50,784.71","50,323.18","126.51M","-0.02%"
"Nov 22, 2019","50,484.88","50,235.68","50,602.64","49,979.42","102.91M","0.50%"
"Nov 21, 2019","50,235.68","50,971.63","50,971.63","50,123.64","136.26M","-1.44%"
"Nov 20, 2019","50,971.63","51,060.34","51,063.69","50,560.60","134.28M","-0.17%"
"Nov 19, 2019","51,060.34","50,191.03","51,077.36","50,190.87","130.35M","1.73%"
"Nov 18, 2019","50,191.03","49,784.83","50,536.59","49,784.83","98.67M","0.82%"
"Nov 15, 2019","49,784.83","50,012.48","50,249.95","49,775.62","97.21M","-0.46%"
"Nov 14, 2019","50,012.48","50,115.49","50,305.74","49,921.26","108.06M","-0.21%"
"Nov 13, 2019","50,115.49","50,210.49","50,263.83","49,714.14","146.57M","-0.19%"
"Nov 12, 2019","50,210.49","49,976.02","50,431.23","49,929.94","133.24M","0.47%"
"Nov 11, 2019","49,976.02","50,406.94","50,426.63","49,743.79","136.00M","-0.85%"
"Nov 08, 2019","50,406.94","51,223.34","51,223.34","50,291.34","153.45M","-1.59%"
"Nov 07, 2019","51,223.34","51,410.32","51,777.96","51,125.06","125.12M","-0.36%"
"Nov 06, 2019","51,410.32","50,984.38","51,619.86","50,878.91","144.70M","0.84%"
"Nov 05, 2019","50,984.38","50,673.73","51,166.62","50,565.01","147.59M","0.61%"
"Nov 04, 2019","50,673.73","50,428.14","50,795.89","50,397.79","119.79M","0.49%"
"Nov 01, 2019","50,428.14","50,168.48","50,530.60","50,062.23","101.37M","0.52%"
"Oct 31, 2019","50,168.48","49,629.32","50,524.03","49,629.32","233.70M","1.09%"
"Oct 30, 2019","49,629.32","49,477.44","49,706.94","48,515.32","187.46M","0.31%"
"Oct 29, 2019","49,477.44","49,516.50","49,685.85","49,133.82","116.17M","-0.08%"
"Oct 28, 2019","49,516.50","48,858.47","49,674.43","48,852.45","115.27M","1.35%"
"Oct 25, 2019","48,858.47","49,124.43","49,355.87","48,704.74","97.86M","-0.54%"
"Oct 24, 2019","49,124.43","49,244.55","49,752.53","49,111.67","137.94M","-0.24%"
